Year,pos,player,WOE,WAR
2001,QB, Brian Griese,0.13613613613613615,1.7259023729611966
2001,QB, Donovan McNabb,0.8413413413413413,2.544662309368192
2001,QB, Daunte Culpepper,0.5675675675675675,1.930224341989048
2001,QB, Kerry Collins,-0.2147147147147147,1.488606253312136
2001,QB, Rich Gannon,0.6161161161161162,2.319437084142967
2001,QB, Jeff Garcia,0.8653653653653653,2.568686333392216
2001,QB, Aaron Brooks,0.8143143143143143,2.517635282341165
2001,QB, Mark Brunell,0.16816816816816818,1.7579344049932286
2001,QB, Jay Fiedler,0.3058058058058058,2.0091267738326564
2001,QB, Peyton Manning,0.7022022022022022,2.4055231702290527
2001,QB, Drew Bledsoe,-0.04904904904904905,0.17806041335453102
2001,QB, Chris Weinke,-0.10710710710710711,1.4826591297179534
2001,QB, Brett Favre,0.6931931931931932,2.396514161220044
2001,QB, Kurt Warner,1.1656656656656657,2.8689866336925163
2001,QB, Vinny Testaverde,-0.7832832832832833,0.9200376847435673
2001,QB, Brad Johnson,-0.11861861861861862,1.584702349408232
2001,QB, Trent Green,-0.11361361361361362,1.589707354413237
2001,QB, Charlie Batch,-0.8418418418418419,0.7479243949832186
2001,QB, Jon Kitna,-0.6671671671671672,1.0361538008596836
2001,QB, Steve McNair,0.7557557557557557,2.3455219925808164
2001,QB, Neil O'Donnell,-0.6911911911911912,-0.12341753518224108
2001,QB, Kordell Stewart,0.501001001001001,2.2043219690278515
2001,QB, Rob Johnson,-0.15715715715715717,0.7512806924571631
2001,QB, Matt Hasselbeck,-0.7842842842842843,0.6919272213389862
2001,QB, Tim Couch,-0.37487487487487486,1.3284460931519757
2001,QB, Chris Chandler,-0.2702702702702703,1.3194959665547903
2001,QB, Shane Matthews,-0.33383383383383386,0.23393982217511627
2001,QB, Doug Flutie,-0.3033033033033033,1.5135723959253373
2001,QB, Michael Vick,-0.5330330330330331,0.26185008537949717
2001,QB, Jeff George,-0.2832832832832833,-0.05617382087970321
2001,QB, Quincy Carter,-0.3868868868868869,0.40799623152564335
2001,QB, Tony Banks,-0.7357357357357357,0.8540305010893248
2001,QB, Chad Pennington,-0.45295295295295296,-0.11228875934758287
2001,QB, Giovanni Carmazzi,-2.9104104104104103,-1.2070894423835596
2001,QB, Koy Detmer,-2.8423423423423424,-1.1390213743154918
2001,QB, Trent Dilfer,-0.45345345345345345,0.22787493375728674
2001,QB, Paul Justin,-2.7067067067067065,-1.116940469881646
2001,QB, Doug Pederson,-2.8433433433433435,-1.1400223753164929
2001,QB, Jonathan Quinn,-0.8318318318318318,-0.15050344462109166
2001,QB, Mike Quinn,-0.9194194194194194,-0.35164576341046927
2001,QB, Kevin Thompson,-1.1131131131131131,-0.43178472590237293
2001,QB, Anthony Wright,-1.6666666666666667,-0.3040098922451864
2001,QB, Jake Plummer,0.00950950950950951,1.71283047753636
2001,QB, Ty Detmer,-0.3633633633633634,0.09085556144379675
2001,QB, Tom Brady,-0.43743743743743746,1.152328799387623
2001,QB, Steve Beuerlein,-2.3828828828828827,-0.9066713772596122
2001,QB, Jason Garrett,-2.5325325325325325,-0.9427662957074721
2001,QB, Paul Smith,-2.5255255255255253,-0.9357592887004649
2001,QB, Clint Stoerner,-0.3203203203203203,0.13389860448683982
2001,QB, Alex Van Pelt,-0.5485485485485485,0.8141082258729319
2001,QB, Gus Frerotte,-0.7137137137137137,-0.032385326502973544
2001,QB, Brock Huard,-0.06456456456456457,0.04899016663722547
2001,QB, Mark Rypien,-0.7037037037037037,-0.24948477889654358
2001,QB, Todd Collins,-0.17667667667667666,-0.06312194547488663
2001,QB, Marques Tuiasosopo,-0.15165165165165165,-0.03809692044986161
2001,QB, Doug Johnson,-0.493993993993994,-0.15332980038862393
2001,QB, Dameyune Craig,-1.597097097097097,-0.5751045162809867
2001,QB, Jim Miller,-0.973973973973974,0.38868280044750636
2001,QB, Drew Brees,-0.21621621621621623,0.010893246187363842
2001,QB, Kelly Holcomb,-0.6296296296296297,-0.1754107048224695
2001,QB, Shaun King,-0.48998998998999,-0.1493257963846199
2001,QB, Ray Lucas,-1.587087087087087,-0.5650945062709767
