Pos,Year,Week,Name,Team,Tar,REC,REC_Yards,REC_TDS,PTS
TE,2001,1, Ernie Conwell,STL,,5,49,1,13.8
TE,2001,1, Bubba Franks,GB,,4,45,1,12.5
TE,2001,1, Byron Chamberlain,MIN,,7,83,0,11.8
TE,2001,1, Erron Kinney,TEN,,3,35,1,11.0
TE,2001,1, Tony Gonzalez,KC,,5,81,0,10.6
TE,2001,1, Marcus Pollard,IND,,3,31,1,10.6
TE,2001,1, Jermaine Wiggins,NE,,3,24,1,9.9
TE,2001,1, Damon Jones,JAC,,2,23,1,9.3
TE,2001,1, Tony McGee,CIN,,1,25,1,9.0
TE,2001,1, Wesley Walls,CAR,,3,74,0,8.9
TE,2001,1, Cameron Cleeland,NO,,2,14,1,8.4
TE,2001,1, Todd Heap,BAL,,5,57,0,8.2
TE,2001,1, Anthony Becht,NYJ,,4,58,0,7.8
TE,2001,1, Chad Lewis,PHI,,5,45,0,7.0
TE,2001,1, Patrick Hape,DEN,,1,1,1,6.6
TE,2001,1, Marcellus Rivers,NYG,,1,1,1,6.6
TE,2001,1, Desmond Clark,DEN,,2,55,0,6.5
TE,2001,1, Roland Williams,LV,,3,42,0,5.7
TE,2001,1, Kyle Brady,JAC,,3,39,0,5.4
TE,2001,1, Eric Johnson,SF,,4,34,0,5.4
TE,2001,1, Shannon Sharpe,BAL,,4,34,0,5.4
TE,2001,1, David Sloan,DET,,2,37,0,4.7
TE,2001,1, Ken Dilger,IND,,2,28,0,3.8
TE,2001,1, Jim Kleinsasser,MIN,,3,22,0,3.7
TE,2001,1, Mikhael Ricks,KC,,2,26,0,3.6
TE,2001,1, Jeff Robinson,STL,,2,26,0,3.6
TE,2001,1, Stephen Alexander,WAS,,2,23,0,3.3
TE,2001,1, Itula Mili,SEA,,2,21,0,3.1
TE,2001,1, Dwayne Carswell,DEN,,1,25,0,3.0
TE,2001,1, Jay Riemersma,BUF,,2,16,0,2.6
TE,2001,1, Frank Wycheck,TEN,,2,15,0,2.5
TE,2001,1, Freddie Jones,SD,,1,16,0,2.1
TE,2001,1, Fred Baxter,CHI,,2,4,0,1.4
TE,2001,1, Mark Bruener,PIT,,2,4,0,1.4
TE,2001,1, Jason Dunn,KC,,1,6,0,1.1
TE,2001,1, Justin Swift,SF,,1,6,0,1.1
TE,2001,1, Rickey Dudley,CLE,,1,5,0,1.0
TE,2001,1, Dave Stachelski,NO,,1,5,0,1.0
TE,2001,1, David Martin,GB,,1,3,0,0.8
TE,2001,1, Bradford Banta,DET,,0,0,0,0.0
TE,2001,1, Marco Battaglia,CIN,,0,0,0,0.0
TE,2001,1, Sean Brewer,CIN,,0,0,0,0.0
TE,2001,1, Luther Broughton,CAR,,0,0,0,0.0
TE,2001,1, Dan Campbell,NYG,,0,0,0,0.0
TE,2001,1, Mark Campbell,CLE,,0,0,0,0.0
TE,2001,1, Bobby Collins,GB,,0,0,0,0.0
TE,2001,1, Howard Cross,NYG,,0,0,0,0.0
TE,2001,1, Alge Crumpler,ATL,,0,0,0,0.0
TE,2001,1, Matt Cushing,PIT,,0,0,0,0.0
TE,2001,1, John Davis,CHI,,0,0,0,0.0
TE,2001,1, Tyrone Davis,GB,,0,0,0,0.0
TE,2001,1, James Dearth,NYJ,,0,0,0,0.0
TE,2001,1, Christian Fauria,SEA,,0,0,0,0.0
TE,2001,1, Zeron Flemister,WAS,,0,0,0,0.0
TE,2001,1, Mondriel Fulcher,LV,,0,0,0,0.0
TE,2001,1, Kendall Gammon,KC,,0,0,0,0.0
TE,2001,1, Hunter Goodwin,MIA,,0,0,0,0.0
TE,2001,1, Lamont Hall,NO,,0,0,0,0.0
TE,2001,1, Brody Heffner-Liddiard,MIN,,0,0,0,0.0
TE,2001,1, Steve Heiden,SD,,0,0,0,0.0
TE,2001,1, Jabari Holloway,NE,,0,0,0,0.0
TE,2001,1, Sheldon Jackson,BUF,,0,0,0,0.0
TE,2001,1, Brian Jennings,SF,,0,0,0,0.0
TE,2001,1, John Jones,BAL,,0,0,0,0.0
TE,2001,1, Reggie Kelly,ATL,,0,0,0,0.0
TE,2001,1, Brian Kozlowski,ATL,,0,0,0,0.0
TE,2001,1, Arthur Love,NE,,0,0,0,0.0
TE,2001,1, Mike Lucky,DAL,,0,0,0,0.0
TE,2001,1, Kris Mangum,CAR,,0,0,0,0.0
TE,2001,1, Brandon Manumaleuna,STL,,0,0,0,0.0
TE,2001,1, Alonzo Mayes,MIA,,0,0,0,0.0
TE,2001,1, Pete Mitchell,DET,,0,0,0,0.0
TE,2001,1, Dave Moore,TB,,0,0,0,0.0
TE,2001,1, Dan O'Leary,BUF,,0,0,0,0.0
TE,2001,1, Ed Perry,MIA,,0,0,0,0.0
TE,2001,1, Walter Rasby,WAS,,0,0,0,0.0
TE,2001,1, Rod Rutledge,NE,,0,0,0,0.0
TE,2001,1, O.J. Santiago,CLE,,0,0,0,0.0
TE,2001,1, Aaron Shea,CLE,,0,0,0,0.0
TE,2001,1, Kaseem Sinceno,CHI,,0,0,0,0.0
TE,2001,1, Brad St. Louis,CIN,,0,0,0,0.0
TE,2001,1, Jeff Thomason,PHI,,0,0,0,0.0
TE,2001,1, Jerame Tuman,PIT,,0,0,0,0.0
TE,2001,1, Jed Weaver,MIA,,0,0,0,0.0
TE,2001,1, Todd Yoder,TB,,0,0,0,0.0
TE,2001,2, Freddie Jones,SD,,5,51,1,13.6
TE,2001,2, Shannon Sharpe,BAL,,8,84,0,12.4
TE,2001,2, Brian Kozlowski,ATL,,4,86,0,10.6
TE,2001,2, Bubba Franks,GB,,2,20,1,9.0
TE,2001,2, Byron Chamberlain,MIN,,5,50,0,7.5
TE,2001,2, Erron Kinney,TEN,,4,53,0,7.3
TE,2001,2, Mike Lucky,DAL,,1,7,1,7.2
TE,2001,2, Terry Hardy,ARI,,1,6,1,7.1
TE,2001,2, Tony Gonzalez,KC,,5,43,0,6.8
TE,2001,2, Damon Jones,JAC,,2,58,0,6.8
TE,2001,2, Patrick Hape,DEN,,1,1,1,6.6
TE,2001,2, Jeff Robinson,STL,,1,1,1,6.6
TE,2001,2, Ken Dilger,IND,,2,51,0,6.1
TE,2001,2, Jay Riemersma,BUF,,5,36,0,6.1
TE,2001,2, Desmond Clark,DEN,,3,34,0,4.9
TE,2001,2, Rickey Dudley,CLE,,2,37,0,4.7
TE,2001,2, Jim Kleinsasser,MIN,,2,28,0,4.4
TE,2001,2, Dwayne Carswell,DEN,,2,33,0,4.3
TE,2001,2, Ernie Conwell,STL,,1,31,0,3.6
TE,2001,2, David Martin,GB,,1,31,0,3.6
TE,2001,2, Anthony Becht,NYJ,,2,24,0,3.4
TE,2001,2, Frank Wycheck,TEN,,3,19,0,3.4
TE,2001,2, Marco Battaglia,CIN,,2,20,0,3.0
TE,2001,2, Eric Johnson,SF,,3,14,0,2.9
TE,2001,2, Chad Lewis,PHI,,3,13,0,2.8
TE,2001,2, Justin Swift,SF,,3,13,0,2.8
TE,2001,2, Stephen Alexander,WAS,,2,17,0,2.7
TE,2001,2, Dan Campbell,NYG,,1,22,0,2.7
TE,2001,2, Todd Heap,BAL,,2,16,0,2.6
TE,2001,2, Tywan Mitchell,ARI,,1,20,0,2.5
TE,2001,2, Alge Crumpler,ATL,,2,13,0,2.3
TE,2001,2, Christian Fauria,SEA,,2,13,0,2.3
TE,2001,2, Rod Rutledge,NE,,2,10,0,2.0
TE,2001,2, Luther Broughton,CAR,,1,9,0,1.4
TE,2001,2, Tony McGee,CIN,,1,8,0,1.3
TE,2001,2, Marcus Pollard,IND,,1,8,0,1.3
TE,2001,2, Jed Weaver,MIA,,1,6,0,1.1
TE,2001,2, Steve Heiden,SD,,1,5,0,1.0
TE,2001,2, Reggie Kelly,ATL,,1,5,0,1.0
TE,2001,2, Kris Mangum,CAR,,1,5,0,1.0
TE,2001,2, Roland Williams,LV,,1,2,0,0.7
TE,2001,2, Bradford Banta,DET,,0,0,0,0.0
TE,2001,2, Fred Baxter,CHI,,0,0,0,0.0
TE,2001,2, Kyle Brady,JAC,,0,0,0,0.0
TE,2001,2, Sean Brewer,CIN,,0,0,0,0.0
TE,2001,2, Mark Campbell,CLE,,0,0,0,0.0
TE,2001,2, Bobby Collins,GB,,0,0,0,0.0
TE,2001,2, Howard Cross,NYG,,0,0,0,0.0
TE,2001,2, John Davis,CHI,,0,0,0,0.0
TE,2001,2, Tyrone Davis,GB,,0,0,0,0.0
TE,2001,2, James Dearth,NYJ,,0,0,0,0.0
TE,2001,2, Jason Dunn,KC,,0,0,0,0.0
TE,2001,2, Zeron Flemister,WAS,,0,0,0,0.0
TE,2001,2, Mondriel Fulcher,LV,,0,0,0,0.0
TE,2001,2, Kendall Gammon,KC,,0,0,0,0.0
TE,2001,2, Hunter Goodwin,MIA,,0,0,0,0.0
TE,2001,2, Brody Heffner-Liddiard,MIN,,0,0,0,0.0
TE,2001,2, Jabari Holloway,NE,,0,0,0,0.0
TE,2001,2, Sheldon Jackson,BUF,,0,0,0,0.0
TE,2001,2, Brian Jennings,SF,,0,0,0,0.0
TE,2001,2, John Jones,BAL,,0,0,0,0.0
TE,2001,2, Arthur Love,NE,,0,0,0,0.0
TE,2001,2, Brandon Manumaleuna,STL,,0,0,0,0.0
TE,2001,2, Alonzo Mayes,MIA,,0,0,0,0.0
TE,2001,2, Itula Mili,SEA,,0,0,0,0.0
TE,2001,2, Dan O'Leary,BUF,,0,0,0,0.0
TE,2001,2, Ed Perry,MIA,,0,0,0,0.0
TE,2001,2, Walter Rasby,WAS,,0,0,0,0.0
TE,2001,2, Mikhael Ricks,KC,,0,0,0,0.0
TE,2001,2, Marcellus Rivers,NYG,,0,0,0,0.0
TE,2001,2, Aaron Shea,CLE,,0,0,0,0.0
TE,2001,2, Kaseem Sinceno,CHI,,0,0,0,0.0
TE,2001,2, David Sloan,DET,,0,0,0,0.0
TE,2001,2, Brad St. Louis,CIN,,0,0,0,0.0
TE,2001,2, Jeff Thomason,PHI,,0,0,0,0.0
TE,2001,2, Wesley Walls,CAR,,0,0,0,0.0
TE,2001,2, James Whalen,DAL,,0,0,0,0.0
TE,2001,2, Jermaine Wiggins,NE,,0,0,0,0.0
TE,2001,3, Chad Lewis,PHI,,4,43,2,18.3
TE,2001,3, Tony Gonzalez,KC,,5,88,1,17.3
TE,2001,3, Marcus Pollard,IND,,4,63,1,14.3
TE,2001,3, Christian Fauria,SEA,,4,34,1,11.4
TE,2001,3, Wesley Walls,CAR,,4,33,1,11.3
TE,2001,3, Bubba Franks,GB,,3,34,1,10.9
TE,2001,3, Byron Chamberlain,MIN,,4,88,0,10.8
TE,2001,3, Terry Hardy,ARI,,2,25,1,9.5
TE,2001,3, Desmond Clark,DEN,,5,67,0,9.2
TE,2001,3, Jim Kleinsasser,MIN,,8,51,0,9.2
TE,2001,3, Dwayne Carswell,DEN,,2,5,1,7.5
TE,2001,3, Shannon Sharpe,BAL,,5,50,0,7.5
TE,2001,3, Mikhael Ricks,KC,,3,40,0,5.5
TE,2001,3, Jay Riemersma,BUF,,2,35,0,4.5
TE,2001,3, Reggie Kelly,ATL,,3,28,0,4.3
TE,2001,3, Ernie Conwell,STL,,3,27,0,4.2
TE,2001,3, Anthony Becht,NYJ,,3,24,0,3.9
TE,2001,3, Eric Johnson,SF,,2,20,0,3.0
TE,2001,3, Tony McGee,CIN,,2,17,0,2.7
TE,2001,3, Rickey Dudley,CLE,,3,10,0,2.5
TE,2001,3, Jeff Robinson,STL,,2,14,0,2.4
TE,2001,3, Patrick Hape,DEN,,2,13,0,2.3
TE,2001,3, John Jones,BAL,,2,13,0,2.3
TE,2001,3, Damon Jones,JAC,,1,16,0,2.1
TE,2001,3, Roland Williams,LV,,2,11,0,2.1
TE,2001,3, Kyle Brady,JAC,,1,14,0,1.9
TE,2001,3, Mike Lucky,DAL,,2,8,0,1.8
TE,2001,3, Ken Dilger,IND,,1,11,0,1.6
TE,2001,3, Jermaine Wiggins,NE,,1,11,0,1.6
TE,2001,3, Justin Swift,SF,,1,9,0,1.4
TE,2001,3, Jeremy Brigham,LV,,1,7,0,1.2
TE,2001,3, Jed Weaver,MIA,,1,5,0,1.0
TE,2001,3, Cameron Cleeland,NO,,1,3,0,0.8
TE,2001,3, Bobby Collins,GB,,1,3,0,0.8
TE,2001,3, Marco Battaglia,CIN,,1,2,0,0.7
TE,2001,3, Johnny Huggins,DAL,,1,1,0,0.6
TE,2001,3, Stephen Alexander,WAS,,0,0,0,0.0
TE,2001,3, Sean Brewer,CIN,,0,0,0,0.0
TE,2001,3, Luther Broughton,CAR,,0,0,0,0.0
TE,2001,3, Mark Bruener,PIT,,0,0,0,0.0
TE,2001,3, Dan Campbell,NYG,,0,0,0,0.0
TE,2001,3, Mark Campbell,CLE,,0,0,0,0.0
TE,2001,3, Howard Cross,NYG,,0,0,0,0.0
TE,2001,3, Alge Crumpler,ATL,,0,0,0,0.0
TE,2001,3, Matt Cushing,PIT,,0,0,0,0.0
TE,2001,3, Tyrone Davis,GB,,0,0,0,0.0
TE,2001,3, James Dearth,NYJ,,0,0,0,0.0
TE,2001,3, Jason Dunn,KC,,0,0,0,0.0
TE,2001,3, Zeron Flemister,WAS,,0,0,0,0.0
TE,2001,3, Kendall Gammon,KC,,0,0,0,0.0
TE,2001,3, Hunter Goodwin,MIA,,0,0,0,0.0
TE,2001,3, Lamont Hall,NO,,0,0,0,0.0
TE,2001,3, Brody Heffner-Liddiard,MIN,,0,0,0,0.0
TE,2001,3, Steve Heiden,SD,,0,0,0,0.0
TE,2001,3, Jabari Holloway,NE,,0,0,0,0.0
TE,2001,3, Sheldon Jackson,BUF,,0,0,0,0.0
TE,2001,3, Brian Jennings,SF,,0,0,0,0.0
TE,2001,3, Freddie Jones,SD,,0,0,0,0.0
TE,2001,3, Brian Kozlowski,ATL,,0,0,0,0.0
TE,2001,3, Arthur Love,NE,,0,0,0,0.0
TE,2001,3, Kris Mangum,CAR,,0,0,0,0.0
TE,2001,3, Brandon Manumaleuna,STL,,0,0,0,0.0
TE,2001,3, Alonzo Mayes,MIA,,0,0,0,0.0
TE,2001,3, Itula Mili,SEA,,0,0,0,0.0
TE,2001,3, Tywan Mitchell,ARI,,0,0,0,0.0
TE,2001,3, Dave Moore,TB,,0,0,0,0.0
TE,2001,3, Dan O'Leary,BUF,,0,0,0,0.0
TE,2001,3, Ed Perry,MIA,,0,0,0,0.0
TE,2001,3, Walter Rasby,WAS,,0,0,0,0.0
TE,2001,3, Marcellus Rivers,NYG,,0,0,0,0.0
TE,2001,3, Rod Rutledge,NE,,0,0,0,0.0
TE,2001,3, O.J. Santiago,CLE,,0,0,0,0.0
TE,2001,3, Aaron Shea,CLE,,0,0,0,0.0
TE,2001,3, Brad St. Louis,CIN,,0,0,0,0.0
TE,2001,3, Dave Stachelski,NO,,0,0,0,0.0
TE,2001,3, Jeff Thomason,PHI,,0,0,0,0.0
TE,2001,3, Jerame Tuman,PIT,,0,0,0,0.0
TE,2001,3, James Whalen,DAL,,0,0,0,0.0
TE,2001,3, Todd Yoder,TB,,0,0,0,0.0
TE,2001,4, Wesley Walls,CAR,,10,91,1,20.1
TE,2001,4, Tony Gonzalez,KC,,8,129,0,16.9
TE,2001,4, Byron Chamberlain,MIN,,2,48,1,11.8
TE,2001,4, Jay Riemersma,BUF,,4,35,1,11.5
TE,2001,4, Itula Mili,SEA,,2,42,1,11.2
TE,2001,4, Erron Kinney,TEN,,7,75,0,11.0
TE,2001,4, Ernie Conwell,STL,,4,22,1,10.2
TE,2001,4, Anthony Becht,NYJ,,3,21,1,9.6
TE,2001,4, Jed Weaver,MIA,,1,14,1,7.9
TE,2001,4, Rickey Dudley,CLE,,3,63,0,7.8
TE,2001,4, Jim Kleinsasser,MIN,,4,48,0,7.3
TE,2001,4, Shannon Sharpe,BAL,,3,57,0,7.2
TE,2001,4, Stephen Alexander,WAS,,5,45,0,7.0
TE,2001,4, Dan Campbell,NYG,,1,1,1,6.6
TE,2001,4, Chad Lewis,PHI,,4,38,0,5.8
TE,2001,4, Alge Crumpler,ATL,,2,46,0,5.6
TE,2001,4, Frank Wycheck,TEN,,2,36,0,4.6
TE,2001,4, David Sloan,DET,,2,35,0,4.5
TE,2001,4, David Martin,GB,,2,33,0,4.3
TE,2001,4, Freddie Jones,SD,,3,23,0,3.8
TE,2001,4, Terry Hardy,ARI,,3,22,0,3.7
TE,2001,4, Dave Moore,TB,,3,18,0,3.3
TE,2001,4, Pete Mitchell,DET,,3,13,0,2.8
TE,2001,4, Roland Williams,LV,,2,14,0,2.4
TE,2001,4, Damon Jones,JAC,,1,18,0,2.3
TE,2001,4, Patrick Hape,DEN,,2,11,0,2.1
TE,2001,4, Mark Bruener,PIT,,1,15,0,2.0
TE,2001,4, John Davis,CHI,,2,9,0,1.9
TE,2001,4, Luther Broughton,CAR,,1,13,0,1.8
